ID,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
1,57836,2,1,23,541,106,114,58,115,58
2,114225,0,1,22,823,188,85,579,245,2
3,49719,2,2,88,899,303,241,471,115,164
4,102227,0,0,32,877,489,311,311,281,91
5,53114,2,0,26,396,276,562,221,49,5
6,99138,0,1,18,695,281,707,577,49,188
7,129643,2,1,88,690,458,377,210,297,136
8,93103,0,1,90,244,218,480,121,79,43
9,76848,2,2,72,867,399,679,341,170,10
10,128942,0,2,76,448,425,397,560,62,67
11,95128,1,1,4,364,17,50,80,170,17
12,57788,2,1,9,272,252,130,508,292,102
13,133920,0,2,2,649,483,184,368,145,196
14,76870,1,0,92,91,251,442,7,85,109
15,77413,1,2,32,811,293,84,186,255,19
16,102376,2,0,87,391,329,657,223,282,65
17,26464,2,1,3,938,404,507,256,45,62
18,94713,1,0,79,201,271,665,60,105,123
19,55186,2,1,78,678,270,341,191,105,140
20,49675,2,0,15,197,158,84,41,270,186
21,81146,0,1,70,727,461,339,414,149,86
22,33278,1,1,8,829,248,585,295,40,120
23,76179,0,1,50,0,454,704,473,154,123
24,120025,0,1,81,319,68,522,28,259,1
25,22850,0,1,39,743,251,749,500,210,93
26,132388,1,1,13,64,278,152,206,101,56
27,81731,0,0,96,804,181,483,539,185,148
28,36641,1,1,43,859,160,519,303,148,10
29,133836,1,1,2,730,357,124,90,32,129
30,119866,0,2,66,801,390,554,238,15,151
31,113377,0,0,47,579,397,508,388,142,36
32,62794,0,0,76,730,149,405,516,72,156
33,40201,0,0,43,266,128,261,577,195,157
34,86293,1,1,25,520,411,396,374,185,135
35,36539,2,2,40,910,279,32,423,82,60
36,45806,0,2,81,944,161,763,394,94,187
37,49806,2,0,30,669,293,271,282,256,81
38,20000,2,2,28,913,320,687,84,79,189
39,139785,1,2,23,720,458,380,319,29,69
40,122092,2,1,80,394,373,85,574,247,152
41,29191,0,1,16,732,116,518,459,3,190
42,131197,0,1,29,207,179,219,278,12,27
43,45029,0,2,94,69,63,475,71,290,8
44,75705,2,0,93,708,315,11,31,85,8
45,100918,1,2,57,221,117,441,172,65,1
46,48820,2,0,17,292,264,500,55,291,94
47,135525,0,2,73,613,245,550,582,23,157
48,83154,0,1,83,184,119,638,427,77,28
49,23012,0,2,93,709,311,528,132,161,50
50,53588,2,1,13,130,40,289,318,28,46
51,56674,2,2,68,848,191,502,500,208,14
52,136999,0,0,18,696,196,664,43,134,117
53,138504,2,1,6,300,421,576,535,235,100
54,100312,0,1,31,145,40,348,511,258,136
55,85607,1,1,66,696,243,3,432,43,107
